Fare,Pclass,Survived
7.25,3,0
71.2833,1,1
7.925,3,1
53.1,1,1
8.05,3,0
8.4583,3,0
51.8625,1,0
21.075,3,0
11.1333,3,1
30.0708,2,1
16.7,3,1
26.55,1,1
8.05,3,0
31.275,3,0
7.8542,3,0
16,2,1
29.125,3,0
13,2,1
18,3,0
7.225,3,1
26,2,0
13,2,1
8.0292,3,1
35.5,1,1
21.075,3,0
31.3875,3,1
7.225,3,0
263,1,0
7.8792,3,1
7.8958,3,0
27.7208,1,0
146.5208,1,1
7.75,3,1
10.5,2,0
82.1708,1,0
52,1,0
7.2292,3,1
8.05,3,0
18,3,0
11.2417,3,1
9.475,3,0
21,2,0
7.8958,3,0
41.5792,2,1
7.8792,3,1
8.05,3,0
15.5,3,0
7.75,3,1
21.6792,3,0
17.8,3,0
39.6875,3,0
7.8,3,0
76.7292,1,1
26,2,1
61.9792,1,0
35.5,1,1
10.5,2,1
7.2292,3,0
27.75,2,1
46.9,3,0
7.2292,3,0
80,1,1
83.475,1,0
27.9,3,0
27.7208,1,0
15.2458,3,1
10.5,2,1
8.1583,3,0
7.925,3,1
8.6625,3,0
10.5,2,0
46.9,3,0
73.5,2,0
14.4542,3,0
56.4958,3,1
7.65,3,0
7.8958,3,0
8.05,3,0
29,2,1
12.475,3,1
9,3,0
9.5,3,1
7.7875,3,1
47.1,1,0
10.5,2,1
15.85,3,1
34.375,3,0
8.05,3,0
263,1,1
8.05,3,0
8.05,3,0
7.8542,3,0
61.175,1,0
20.575,3,0
7.25,3,0
8.05,3,0
34.6542,1,0
63.3583,1,1
23,2,1
26,2,0
7.8958,3,0
7.8958,3,0
77.2875,1,0
8.6542,3,0
7.925,3,0
7.8958,3,0
7.65,3,1
7.775,3,1
7.8958,3,0
24.15,3,1
52,1,0
14.4542,3,0
8.05,3,0
9.825,3,0
14.4583,3,0
7.925,3,0
7.75,3,0
21,2,0
247.5208,1,0
31.275,3,0
73.5,2,0
8.05,3,0
30.0708,2,0
13,2,1
77.2875,1,0
11.2417,3,1
7.75,3,0
7.1417,3,1
22.3583,3,1
6.975,3,0
7.8958,3,0
7.05,3,0
14.5,3,0
26,2,1
13,2,0
15.0458,2,0
26.2833,1,1
53.1,1,0
9.2167,3,0
79.2,1,0
15.2458,3,0
7.75,3,1
15.85,3,1
6.75,3,0
11.5,2,0
36.75,2,0
7.7958,3,1
34.375,3,0
26,2,0
13,2,0
12.525,2,0
66.6,1,1
8.05,3,0
14.5,3,0
7.3125,3,0
61.3792,1,0
7.7333,3,1
8.05,3,0
8.6625,3,0
69.55,3,0
16.1,3,0
15.75,2,1
7.775,3,0
8.6625,3,0
39.6875,3,0
20.525,3,1
55,1,1
27.9,3,0
25.925,1,0
56.4958,3,0
33.5,1,0
29.125,3,0
11.1333,3,1
7.925,3,0
30.6958,1,0
7.8542,3,0
25.4667,3,0
28.7125,1,0
13,2,0
0,3,0
69.55,3,0
15.05,2,0
31.3875,3,0
39,2,1
22.025,3,1
50,1,0
15.5,3,1
26.55,1,1
15.5,3,0
7.8958,3,0
13,2,1
13,2,0
7.8542,3,1
26,2,1
27.7208,1,1
146.5208,1,1
7.75,3,0
8.4042,3,0
7.75,3,1
13,2,0
9.5,3,0
69.55,3,0
6.4958,3,0
7.225,3,0
8.05,3,1
10.4625,3,0
15.85,3,0
18.7875,3,1
7.75,3,1
31,1,1
7.05,3,0
21,2,1
7.25,3,0
13,2,0
7.75,3,0
113.275,1,1
7.925,3,1
27,2,0
76.2917,1,1
10.5,2,0
8.05,3,1
13,2,0
8.05,3,0
7.8958,3,0
90,1,1
9.35,3,0
10.5,2,1
7.25,3,0
13,2,0
25.4667,3,0
83.475,1,1
7.775,3,0
13.5,2,0
31.3875,3,1
10.5,2,0
7.55,3,0
26,2,0
26.25,2,1
10.5,2,0
12.275,2,0
14.4542,3,0
15.5,3,1
10.5,2,0
7.125,3,0
7.225,3,0
90,1,0
7.775,3,0
14.5,2,1
52.5542,1,1
26,2,0
7.25,3,0
10.4625,3,0
26.55,1,0
16.1,3,0
20.2125,3,0
15.2458,3,1
79.2,1,1
86.5,1,1
512.3292,1,1
26,2,1
7.75,3,0
31.3875,3,1
79.65,1,0
0,1,0
7.75,3,0
10.5,2,0
39.6875,3,0
7.775,3,1
153.4625,1,1
135.6333,1,1
31,1,0
0,3,1
19.5,2,1
29.7,1,0
7.75,3,1
77.9583,1,1
7.75,3,0
0,2,0
29.125,3,0
20.25,3,1
7.75,3,0
7.8542,3,0
9.5,3,0
8.05,3,1
26,1,0
8.6625,3,0
9.5,3,1
7.8958,3,0
13,2,1
7.75,3,1
78.85,1,1
91.0792,1,1
12.875,2,0
8.85,3,0
7.8958,3,0
27.7208,1,0
7.2292,3,0
151.55,1,0
30.5,1,1
247.5208,1,1
7.75,3,1
23.25,3,1
0,3,0
12.35,2,1
8.05,3,0
151.55,1,1
110.8833,1,1
108.9,1,1
24,2,0
56.9292,1,1
83.1583,1,1
262.375,1,1
26,2,0
7.8958,3,0
26.25,2,0
7.8542,3,1
26,2,1
14,2,0
164.8667,1,1
134.5,1,1
7.25,3,0
7.8958,3,0
12.35,2,1
29,2,1
69.55,3,0
135.6333,1,1
6.2375,3,0
13,2,1
20.525,3,1
57.9792,1,1
23.25,3,1
28.5,1,0
153.4625,1,0
18,3,0
133.65,1,1
7.8958,3,0
66.6,1,0
134.5,1,1
8.05,3,1
35.5,1,0
26,2,1
263,1,1
13,2,0
13,2,0
13,2,0
13,2,1
13,2,1
16.1,3,1
15.9,3,1
8.6625,3,0
9.225,3,0
35,1,0
7.2292,3,0
17.8,3,0
7.225,3,0
9.5,3,0
55,1,1
13,2,0
7.8792,3,1
7.8792,3,1
27.9,3,0
27.7208,2,0
14.4542,3,0
7.05,3,0
15.5,3,0
7.25,3,0
75.25,1,1
7.2292,3,1
7.75,3,1
69.3,1,1
55.4417,1,1
6.4958,3,0
8.05,3,0
135.6333,1,0
21.075,3,0
82.1708,1,1
7.25,3,1
211.5,1,0
4.0125,3,0
7.775,3,0
227.525,1,1
15.7417,3,1
7.925,3,0
52,1,1
7.8958,3,0
73.5,2,0
46.9,3,0
13,2,1
7.7292,3,0
12,2,1
120,1,1
7.7958,3,1
7.925,3,0
113.275,1,1
16.7,3,1
7.7958,3,0
7.8542,3,0
26,2,0
10.5,2,0
12.65,2,1
7.925,3,1
8.05,3,0
9.825,3,0
15.85,3,0
8.6625,3,0
21,2,0
7.75,3,0
18.75,2,1
7.775,3,0
25.4667,3,0
7.8958,3,0
6.8583,3,0
90,1,1
0,2,0
7.925,3,1
8.05,3,0
32.5,2,1
13,2,1
13,2,0
24.15,3,0
7.8958,3,0
7.7333,3,0
7.875,3,0
14.4,3,0
20.2125,3,0
7.25,3,0
26,2,1
26,2,1
7.75,3,0
8.05,3,1
26.55,1,1
16.1,3,1
26,2,1
7.125,3,0
55.9,1,0
120,1,1
34.375,3,0
18.75,2,1
263,1,0
10.5,2,0
26.25,2,1
9.5,3,0
7.775,3,0
13,2,1
8.1125,3,1
81.8583,1,1
19.5,2,1
26.55,1,1
19.2583,3,1
30.5,1,1
27.75,2,0
19.9667,3,0
27.75,1,0
89.1042,1,1
8.05,3,0
7.8958,3,1
26.55,1,0
51.8625,1,1
10.5,2,1
7.75,3,0
26.55,1,1
8.05,3,0
38.5,1,0
13,2,0
8.05,3,0
7.05,3,0
0,2,0
26.55,1,0
7.725,3,0
19.2583,3,1
7.25,3,0
8.6625,3,0
27.75,2,1
13.7917,2,1
9.8375,3,0
52,1,0
21,2,0
7.0458,3,0
7.5208,3,0
12.2875,3,1
46.9,3,0
0,2,0
8.05,3,0
9.5875,3,1
91.0792,1,1
25.4667,3,0
90,1,1
29.7,1,0
8.05,3,0
15.9,3,1
19.9667,3,0
7.25,3,0
30.5,1,0
49.5042,1,0
8.05,3,0
14.4583,3,0
78.2667,1,1
15.1,3,0
151.55,1,0
7.7958,3,0
8.6625,3,0
7.75,3,0
7.6292,3,0
9.5875,3,0
86.5,1,1
108.9,1,0
26,2,1
26.55,1,1
22.525,3,0
56.4958,3,1
